restid,itemname,description,sentence
586,Hashed Brown Potatoes,,
577,Fresh Mozzarella Vine Ripe Tomato and Pesto Panini,,
586,Onion Rings,,
577,Native Crab Cakes with Poached Eggs,,
577,Steak and Eggs,,
577,Ham,,
577,Bacon,,
577,Italian sausage,,
577,Home fries,,
577,White or wheat toast,,
577,English muffin,,
577,Bagel,,
577,Bruschetta di Pomodori,,
577,Buffala Mozzarella alla Caprese,,
577,Antipasto,,
577,Calamari,,
577,Carpaccio della Casa,,
577,Funghi Portobello,,
577,Cozze in Brodo,,
577,Insalata Della Casa,,
577,Cesare,,
577,Ceasare with Chicken or Shrimp,,
577,Insalata di Spinaci,,
577,Insalata Mista,,
577,Grilled Beef Tenderloin and Roasted Corn Salad,,
577,Chilled Yellow Fin Tuna and Citrus Salad,,
577,Insalata alla Formaggio di Capra,,
576,Rouleaux de thon cru aux pices Khm res,Crispy spring roll w raw tuna avocado rice sauce w Cambodian Spices herbs   ,Rouleaux de thon cru aux pices Khm res Crispy spring roll w raw tuna avocado rice sauce w Cambodian Spices herbs
576,Rouleaux available vegan ,Crispy Cambodian pork spring rolls served w greens herbs tuk trey for dipping     ,Rouleaux available vegan Crispy Cambodian pork spring rolls served w greens herbs tuk trey for dipping
576,Polenta et canard brais aux champignons,Duck braised in soy ginger tamarind juice creamy polenta portobello mushroom snow peas   ,Polenta et canard brais aux champignons Duck braised in soy ginger tamarind juice creamy polenta portobello mushroom snow peas
576,Nataing gluten free ,Ground pork simmered in coconut milk w garlic peanuts served w crispy rice    ,Nataing gluten free Ground pork simmered in coconut milk w garlic peanuts served w crispy rice
576,Kapik Khing Croquette de riz available gluten free ,PT Farm pork belly slow cooked w Khmer spices jasmine rice croquette pickles   ,Kapik Khing Croquette de riz available gluten free PT Farm pork belly slow cooked w Khmer spices jasmine rice croquette pickles
576,B'Baw Mouan gluten free ,The essential Cambodian rice soup w chicken fried garlic herbs lime    ,B'Baw Mouan gluten free The essential Cambodian rice soup w chicken fried garlic herbs lime
576,Somlah Machou gluten free ,Cambodian Sour soup w tiger shrimp plum tomatoes fried garlic french mint    ,Somlah Machou gluten free Cambodian Sour soup w tiger shrimp plum tomatoes fried garlic french mint
